lbr_brand_nm,snpsht_day,mth_nm,snpsht_yr,sku_cd,catg,subcatg,glance_view
Kellogg's,1,APRIL,2024,B075S79RFS,Grocery-Cereal & Muesli,Muesli,6463.54
Kellogg's,1,APRIL,2024,B08D3QHRCZ,Grocery-Cereal & Muesli,Flakes,949.81
Kellogg's,1,APRIL,2024,B0B15QNXZ7,Grocery-Cereal & Muesli,Flakes,5496.47
Kellogg's,1,APRIL,2024,B0156LXGD0,Grocery-Cereal & Muesli,Flakes,37.12
Kellogg's,1,APRIL,2024,B08D3S9PVT,Grocery-Cereal & Muesli,Flakes,906.67
Kellogg's,1,APRIL,2024,B0CKYXBQ6H,Grocery-Cereal & Muesli,Flakes,292.96
Kellogg's,1,APRIL,2024,B0CKYXBQ6H,Grocery-Cereal & Muesli,Flakes,409.26
Kellogg's,1,APRIL,2024,B013R3IXE6,Grocery-Cereal & Muesli,Flakes,1218.93
Kellogg's,1,APRIL,2024,B00M8DP4M6,Grocery-Cereal & Muesli,Flakes,37.81
Kellogg's,1,APRIL,2024,B08D3QGSS8,Grocery-Cereal & Muesli,Flakes,37.21
Kellogg's,1,APRIL,2024,B07X675VSL,Grocery-Cereal & Muesli,Flakes,76.67
Kellogg's,1,APRIL,2024,B09VGDC6KG,Grocery-Cereal & Muesli,Flakes,37.12
Kellogg's,1,APRIL,2024,B08D3VCWKV,Grocery-Cereal & Muesli,Flakes,9377.06
Kellogg's,1,APRIL,2024,B096JZNHKW,Grocery-Cereal & Muesli,Flakes,1131.6
Kellogg's,1,APRIL,2024,B01D10FPTG,Grocery-Cereal & Muesli,Flakes,758.83
Kellogg's,1,APRIL,2024,B07WZLX81X,Grocery-Cereal & Muesli,Muesli,5241.38
Kellogg's,1,APRIL,2024,B09HQZ77W3,Grocery-Cereal & Muesli,Flakes,51.94
Kellogg's,1,APRIL,2024,B09SDB4DDZ,Grocery-Cereal & Muesli,Flakes,748.14
Kellogg's,1,APRIL,2024,B0CW1RZ4CH,Grocery-Cereal & Muesli,Flakes,164.61
Kellogg's,1,APRIL,2024,B00AUDCDM0,Grocery-Cereal & Muesli,Flakes,65.41
Kellogg's,1,APRIL,2024,B09YHVR3FF,Grocery-Cereal & Muesli,Flakes,10650.66
Kellogg's,1,APRIL,2024,B08D3N93ZC,Grocery-Cereal & Muesli,Flakes,39.6
Kellogg's,1,APRIL,2024,B00TZIISRU,Grocery-Cereal & Muesli,Cereal Bars,37.26
Kellogg's,1,APRIL,2024,B083JP2NZX,Grocery-Cereal & Muesli,Flakes,228.91
Kellogg's,1,APRIL,2024,B01MQ65ZQG,Grocery-Cereal & Muesli,Muesli,37.12
Kellogg's,1,APRIL,2024,B0B5D9N3HH,Grocery-Cereal & Muesli,Flakes,545.62
Kellogg's,1,APRIL,2024,B00TZII3TI,Grocery-Cereal & Muesli,Flakes,4951.51
Kellogg's,1,APRIL,2024,B084LM3XYF,Grocery-Cereal & Muesli,Flakes,37.47
Kellogg's,1,APRIL,2024,B095K7ZTR3,Grocery-Cereal & Muesli,Flakes,2352.84
